 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-20B14:29:30.000   -131952250.405721    -68250042.407267    -29547909.565226        16.731430932       -19.346496577        -7.751562741        1
2023-04-20B14:30: 0.000   -131951748.765370    -68250622.954792    -29548142.213493        16.711311347       -19.356662669        -7.758313595        1
2023-04-20B14:30:30.000   -131951247.723941    -68251203.806482    -29548375.063555        16.691501639       -19.366774226        -7.765015820        1
2023-04-20B14:31: 0.000   -131950747.272244    -68251784.960697    -29548608.113958        16.671994778       -19.376830941        -7.771669684        1
2023-04-20B14:31:30.000   -131950247.401294    -68252366.415787    -29548841.363255        16.652783943       -19.386832551        -7.778275468        1
2023-04-20B14:32: 0.000   -131949748.102313    -68252948.170097    -29549074.810008        16.633862509       -19.396778843        -7.784833468        1
2023-04-20B14:32:30.000   -131949249.366714    -68253530.221963    -29549308.452788        16.615224046       -19.406669645        -7.791343989        1
2023-04-20B14:33: 0.000   -131948751.186103    -68254112.569719    -29549542.290176        16.596862309       -19.416504827        -7.797807348        1
2023-04-20B14:33:30.000   -131948253.552269    -68254695.211695    -29549776.320761        16.578771230       -19.426284296        -7.804223870        1
2023-04-20B14:34: 0.000   -131947756.457182    -68255278.146219    -29550010.543143        16.560944916       -19.436007992        -7.810593890        1
2023-04-20B14:34:30.000   -131947259.892984    -68255861.371617    -29550244.955933        16.543377642       -19.445675892        -7.816917747        1
2023-04-20B14:35: 0.000   -131946763.851988    -68256444.886215    -29550479.557750        16.526063840       -19.455288001        -7.823195791        1
2023-04-20B14:35:30.000   -131946268.326673    -68257028.688339    -29550714.347226        16.508998102       -19.464844352        -7.829428375        1
2023-04-20B14:36: 0.000   -131945773.309674    -68257612.776319    -29550949.323001        16.492175169       -19.474345006        -7.835615856        1
2023-04-20B14:36:30.000   -131945278.793786    -68258197.148483    -29551184.483730        16.475589926       -19.483790049        -7.841758599        1
2023-04-20B14:37: 0.000   -131944784.771952    -68258781.803167    -29551419.828074        16.459237401       -19.493179588        -7.847856969        1
2023-04-20B14:37:30.000   -131944291.237263    -68259366.738705    -29551655.354708        16.443112756       -19.502513755        -7.853911337        1
2023-04-20B14:38: 0.000   -131943798.182955    -68259951.953440    -29551891.062317        16.427211285       -19.511792699        -7.859922075        1
2023-04-20B14:38:30.000   -131943305.602400    -68260537.445717    -29552126.949600        16.411528409       -19.521016589        -7.865889558        1
2023-04-20B14:39: 0.000   -131942813.489109    -68261123.213886    -29552363.015262        16.396059671       -19.530185610        -7.871814162        1
2023-04-20B14:39:30.000   -131942321.836722    -68261709.256306    -29552599.258024        16.380800735       -19.539299964        -7.877696265        1
2023-04-20B14:40: 0.000   -131941830.639009    -68262295.571340    -29552835.676617        16.365747378       -19.548359868        -7.883536246        1
2023-04-20B14:40:30.000   -131941339.889864    -68262882.157356    -29553072.269782        16.350895489       -19.557365553        -7.889334483        1
2023-04-20B14:41: 0.000   -131940849.583305    -68263469.012733    -29553309.036272        16.336241064       -19.566317260        -7.895091355        1
2023-04-20B14:41:30.000   -131940359.713465    -68264056.135855    -29553545.974853        16.321780204       -19.575215245        -7.900807242        1
2023-04-20B14:42: 0.000   -131939870.274595    -68264643.525113    -29553783.084301        16.307509111       -19.584059774        -7.906482523        1
2023-04-20B14:42:30.000   -131939381.261058    -68265231.178909    -29554020.363402        16.293424085       -19.592851121        -7.912117574        1
2023-04-20B14:43: 0.000   -131938892.667325    -68265819.095652    -29554257.810957        16.279521519       -19.601589571        -7.917712774        1
2023-04-20B14:43:30.000   -131938404.487977    -68266407.273757    -29554495.425774        16.265797900       -19.610275417        -7.923268497        1
2023-04-20B14:44: 0.000   -131937916.717696    -68266995.711653    -29554733.206675        16.252249803       -19.618908959        -7.928785119        1
2023-04-20B14:44:30.000   -131937429.351267    -68267584.407775    -29554971.152494        16.238873888       -19.627490504        -7.934263012        1
2023-04-20B14:45: 0.000   -131936942.383574    -68268173.360567    -29555209.262073        16.225666900       -19.636020368        -7.939702547        1
2023-04-20B14:45:30.000   -131936455.809596    -68268762.568483    -29555447.534267        16.212625665       -19.644498867        -7.945104092        1
2023-04-20B14:46: 0.000   -131935969.624407    -68269352.029989    -29555685.967942        16.199747086       -19.652926329        -7.950468016        1
2023-04-20B14:46:30.000   -131935483.823174    -68269941.743556    -29555924.561975        16.187028143       -19.661303080        -7.955794683        1
2023-04-20B14:47: 0.000   -131934998.401152    -68270531.707670    -29556163.315254        16.174465891       -19.669629456        -7.961084456        1
2023-04-20B14:47:30.000   -131934513.353683    -68271121.920823    -29556402.226677        16.162057454       -19.677905793        -7.966337693        1
2023-04-20B14:48: 0.000   -131934028.676194    -68271712.381520    -29556641.295154        16.149800027       -19.686132431        -7.971554754        1
2023-04-20B14:48:30.000   -131933544.364198    -68272303.088275    -29556880.519604        16.137690873       -19.694309714        -7.976735993        1
2023-04-20B14:49: 0.000   -131933060.413286    -68272894.039613    -29557119.898959        16.125727320       -19.702437987        -7.981881761        1
2023-04-20B14:49:30.000   -131932576.819129    -68273485.234068    -29557359.432159        16.113906758       -19.710517598        -7.986992409        1
2023-04-20B14:50: 0.000   -131932093.577476    -68274076.670186    -29557599.118155        16.102226640       -19.718548896        -7.992068282        1
2023-04-20B14:50:30.000   -131931610.684151    -68274668.346522    -29557838.955911        16.090684480       -19.726532233        -7.997109725        1
2023-04-20B14:51: 0.000   -131931128.135052    -68275260.261644    -29558078.944398        16.079277848       -19.734467960        -8.002117077        1
2023-04-20B14:51:30.000   -131930645.926149    -68275852.414127    -29558319.082598        16.068004371       -19.742356432        -8.007090677        1
2023-04-20B14:52: 0.000   -131930164.053482    -68276444.802560    -29558559.369504        16.056861731       -19.750198000        -8.012030859        1
2023-04-20B14:52:30.000   -131929682.513159    -68277037.425542    -29558799.804119        16.045847665       -19.757993020        -8.016937954        1
2023-04-20B14:53: 0.000   -131929201.301358    -68277630.281680    -29559040.385454        16.034959959       -19.765741846        -8.021812291        1
2023-04-20B14:53:30.000   -131928720.414320    -68278223.369594    -29559281.112532        16.024196450       -19.773444831        -8.026654194        1
2023-04-20B14:54: 0.000   -131928239.848350    -68278816.687915    -29559521.984385        16.013555026       -19.781102330        -8.031463986        1
2023-04-20B14:54:30.000   -131927759.599818    -68279410.235282    -29559763.000053        16.003033620       -19.788714695        -8.036241985        1
2023-04-20B14:55: 0.000   -131927279.665153    -68280004.010349    -29560004.158589        15.992630213       -19.796282281        -8.040988507        1
2023-04-20B14:55:30.000   -131926800.040845    -68280598.011775    -29560245.459052        15.982342830       -19.803805438        -8.045703864        1
2023-04-20B14:56: 0.000   -131926320.723442    -68281192.238234    -29560486.900512        15.972169540       -19.811284518        -8.050388365        1
2023-04-20B14:56:30.000   -131925841.709551    -68281786.688409    -29560728.482048        15.962108454       -19.818719871        -8.055042317        1
2023-04-20B14:57: 0.000   -131925362.995832    -68282381.360993    -29560970.202749        15.952157726       -19.826111845        -8.059666021        1
2023-04-20B14:57:30.000   -131924884.579002    -68282976.254689    -29561212.061710        15.942315549       -19.833460789        -8.064259778        1
2023-04-20B14:58: 0.000   -131924406.455831    -68283571.368213    -29561454.058039        15.932580154       -19.840767048        -8.068823883        1
2023-04-20B14:58:30.000   -131923928.623142    -68284166.700289    -29561696.190850        15.922949814       -19.848030966        -8.073358630        1
2023-04-20B14:59: 0.000   -131923451.077808    -68284762.249651    -29561938.459266        15.913422834       -19.855252887        -8.077864309        1
2023-04-20B14:59:30.000   -131922973.816755    -68285358.015045    -29562180.862420        15.903997560       -19.862433151        -8.082341206        1
2023-04-20B15:00: 0.000   -131922496.836954    -68285953.995227    -29562423.399453        15.894672369       -19.869572098        -8.086789605        1
2023-04-20B15:00:30.000   -131922020.135428    -68286550.188961    -29562666.069514        15.885445676       -19.876670065        -8.091209786        1
2023-04-20B15:01: 0.000   -131921543.709244    -68287146.595024    -29562908.871761        15.876315927       -19.883727388        -8.095602027        1
2023-04-20B15:01:30.000   -131921067.555518    -68287743.212202    -29563151.805359        15.867281600       -19.890744400        -8.099966602        1
2023-04-20B15:02: 0.000   -131920591.671409    -68288340.039289    -29563394.869483        15.858341208       -19.897721433        -8.104303781        1
2023-04-20B15:02:30.000   -131920116.054121    -68288937.075091    -29563638.063315        15.849493291       -19.904658814        -8.108613833        1
2023-04-20B15:03: 0.000   -131919640.700901    -68289534.318424    -29563881.386045        15.840736421       -19.911556872        -8.112897022        1
2023-04-20B15:03:30.000   -131919165.609039    -68290131.768113    -29564124.836870        15.832069199       -19.918415931        -8.117153611        1
2023-04-20B15:04: 0.000   -131918690.775866    -68290729.422993    -29564368.414998        15.823490254       -19.925236314        -8.121383859        1
2023-04-20B15:04:30.000   -131918216.198754    -68291327.281909    -29564612.119641        15.814998245       -19.932018340        -8.125588021        1
2023-04-20B15:05: 0.000   -131917741.875115    -68291925.343713    -29564855.950021        15.806591855       -19.938762327        -8.129766351        1
2023-04-20B15:05:30.000   -131917267.802400    -68292523.607271    -29565099.905366        15.798269795       -19.945468591        -8.133919098        1
2023-04-20B15:06: 0.000   -131916793.978097    -68293122.071455    -29565343.984913        15.790030803       -19.952137445        -8.138046510        1
2023-04-20B15:06:30.000   -131916320.399733    -68293720.735147    -29565588.187906        15.781873639       -19.958769198        -8.142148831        1
2023-04-20B15:07: 0.000   -131915847.064872    -68294319.597239    -29565832.513595        15.773797091       -19.965364160        -8.146226302        1
2023-04-20B15:07:30.000   -131915373.971114    -68294918.656631    -29566076.961238        15.765799968       -19.971922636        -8.150279162        1
2023-04-20B15:08: 0.000   -131914901.116092    -68295517.912235    -29566321.530101        15.757881105       -19.978444928        -8.154307647        1
2023-04-20B15:08:30.000   -131914428.497476    -68296117.362968    -29566566.219455        15.750039358       -19.984931338        -8.158311990        1
2023-04-20B15:09: 0.000   -131913956.112970    -68296717.007759    -29566811.028581        15.742273606       -19.991382163        -8.162292421        1
2023-04-20B15:09:30.000   -131913483.960311    -68297316.845545    -29567055.956764        15.734582749       -19.997797699        -8.166249169        1
2023-04-20B15:10: 0.000   -131913012.037267    -68297916.875271    -29567301.003297        15.726965708       -20.004178240        -8.170182457        1
2023-04-20B15:10:30.000   -131912540.341641    -68298517.095893    -29567546.167479        15.719421427       -20.010524075        -8.174092508        1
2023-04-20B15:11: 0.000   -131912068.871264    -68299117.506372    -29567791.448617        15.711948867       -20.016835492        -8.177979542        1
2023-04-20B15:11:30.000   -131911597.624002    -68299718.105681    -29568036.846023        15.704547010       -20.023112777        -8.181843776        1
2023-04-20B15:12: 0.000   -131911126.597747    -68300318.892800    -29568282.359018        15.697214858       -20.029356213        -8.185685425        1
2023-04-20B15:12:30.000   -131910655.790423    -68300919.866718    -29568527.986925        15.689951431       -20.035566081        -8.189504700        1
2023-04-20B15:13: 0.000   -131910185.199983    -68301521.026432    -29568773.729078        15.682755768       -20.041742657        -8.193301812        1
2023-04-20B15:13:30.000   -131909714.824409    -68302122.370947    -29569019.584814        15.675626925       -20.047886218        -8.197076966        1
2023-04-20B15:14: 0.000   -131909244.661709    -68302723.899277    -29569265.553478        15.668563976       -20.053997036        -8.200830369        1
2023-04-20B15:14:30.000   -131908774.709920    -68303325.610445    -29569511.634421        15.661566011       -20.060075382        -8.204562221        1
2023-04-20B15:15: 0.000   -131908304.967107    -68303927.503478    -29569757.826998        15.654632140       -20.066121523        -8.208272723        1
2023-04-20B15:15:30.000   -131907835.431360    -68304529.577417    -29570004.130573        15.647761485       -20.072135725        -8.211962073        1
2023-04-20B15:16: 0.000   -131907366.100794    -68305131.831305    -29570250.544513        15.640953187       -20.078118250        -8.215630464        1
2023-04-20B15:16:30.000   -131906896.973553    -68305734.264197    -29570497.068193        15.634206402       -20.084069359        -8.219278091        1
2023-04-20B15:17: 0.000   -131906428.047803    -68306336.875155    -29570743.700993        15.627520300       -20.089989310        -8.222905144        1
2023-04-20B15:17:30.000   -131905959.321737    -68306939.663247    -29570990.442298        15.620894067       -20.095878358        -8.226511811        1
2023-04-20B15:18: 0.000   -131905490.793569    -68307542.627550    -29571237.291499        15.614326904       -20.101736756        -8.230098278        1
2023-04-20B15:18:30.000   -131905022.461540    -68308145.767148    -29571484.247994        15.607818025       -20.107564756        -8.233664729        1
2023-04-20B15:19: 0.000   -131904554.323912    -68308749.081134    -29571731.311185        15.601366659       -20.113362605        -8.237211346        1
2023-04-20B15:19:30.000   -131904086.378973    -68309352.568606    -29571978.480478        15.594972048       -20.119130548        -8.240738309        1
2023-04-20B15:20: 0.000   -131903618.625029    -68309956.228670    -29572225.755288        15.588633447       -20.124868831        -8.244245794        1
2023-04-20B15:20:30.000   -131903151.060413    -68310560.060441    -29572473.135033        15.582350125       -20.130577693        -8.247733978        1
2023-04-20B15:21: 0.000   -131902683.683476    -68311164.063040    -29572720.619136        15.576121363       -20.136257373        -8.251203034        1
2023-04-20B15:21:30.000   -131902216.492593    -68311768.235594    -29572968.207026        15.569946456       -20.141908109        -8.254653134        1
2023-04-20B15:22: 0.000   -131901749.486157    -68312372.577239    -29573215.898136        15.563824709       -20.147530133        -8.258084446        1
2023-04-20B15:22:30.000   -131901282.662585    -68312977.087117    -29573463.691906        15.557755439       -20.153123679        -8.261497138        1
