 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B14:36: 0.000         2907.927218        22893.896924         7432.775768        -0.523501346         4.224708424         2.526158813        1
2023-04-20B14:36:30.000         2892.469770        23020.440051         7508.467187        -0.506995736         4.211529105         2.519943333        1
2023-04-20B14:37: 0.000         2877.507404        23146.590396         7583.972816        -0.490495987         4.198522260         2.513772749        1
2023-04-20B14:37:30.000         2863.039930        23272.353070         7659.293997        -0.474003119         4.185683592         2.507646680        1
2023-04-20B14:38: 0.000         2849.067127        23397.733053         7734.432058        -0.457518102         4.173008915         2.501564743        1
2023-04-20B14:38:30.000         2835.588745        23522.735205         7809.388318        -0.441041859         4.160494154         2.495526553        1
2023-04-20B14:39: 0.000         2822.604507        23647.364264         7884.164084        -0.424575268         4.148135340         2.489531723        1
2023-04-20B14:39:30.000         2810.114112        23771.624848         7958.760651        -0.408119163         4.135928607         2.483579868        1
2023-04-20B14:40: 0.000         2798.117233        23895.521465         8033.179302        -0.391674339         4.123870186         2.477670597        1
2023-04-20B14:40:30.000         2786.613520        24019.058507         8107.421308        -0.375241550         4.111956407         2.471803524        1
2023-04-20B14:41: 0.000         2775.602601        24142.240261         8181.487931        -0.358821514         4.100183694         2.465978259        1
2023-04-20B14:41:30.000         2765.084083        24265.070906         8255.380418        -0.342414913         4.088548561         2.460194416        1
2023-04-20B14:42: 0.000         2755.057553        24387.554518         8329.100005        -0.326022396         4.077047607         2.454451607        1
2023-04-20B14:42:30.000         2745.522580        24509.695073         8402.647920        -0.309644579         4.065677522         2.448749445        1
2023-04-20B14:43: 0.000         2736.478713        24631.496447         8476.025374        -0.293282048         4.054435074         2.443087546        1
2023-04-20B14:43:30.000         2727.925486        24752.962424         8549.233571        -0.276935360         4.043317113         2.437465527        1
2023-04-20B14:44: 0.000         2719.862416        24874.096690         8622.273700        -0.260605043         4.032320568         2.431883004        1
2023-04-20B14:44:30.000         2712.289003        24994.902844         8695.146941        -0.244291600         4.021442441         2.426339598        1
2023-04-20B14:45: 0.000         2705.204734        25115.384393         8767.854463        -0.227995507         4.010679810         2.420834930        1
2023-04-20B14:45:30.000         2698.609082        25235.544760         8840.397420        -0.211717218         4.000029822         2.415368625        1
2023-04-20B14:46: 0.000         2692.501506        25355.387283         8912.776959        -0.195457162         3.989489695         2.409940307        1
2023-04-20B14:46:30.000         2686.881453        25474.915215         8984.994214        -0.179215748         3.979056714         2.404549606        1
2023-04-20B14:47: 0.000         2681.748358        25594.131732         9057.050307        -0.162993363         3.968728226         2.399196153        1
2023-04-20B14:47:30.000         2677.101644        25713.039929         9128.946351        -0.146790373         3.958501646         2.393879581        1
2023-04-20B14:48: 0.000         2672.940725        25831.642826         9200.683447        -0.130607128         3.948374448         2.388599525        1
2023-04-20B14:48:30.000         2669.265003        25949.943367         9272.262683        -0.114443956         3.938344165         2.383355626        1
2023-04-20B14:49: 0.000         2666.073871        26067.944423         9343.685141        -0.098301172         3.928408391         2.378147525        1
2023-04-20B14:49:30.000         2663.366713        26185.648793         9414.951889        -0.082179071         3.918564773         2.372974867        1
2023-04-20B14:50: 0.000         2661.142904        26303.059209         9486.063983        -0.066077934         3.908811015         2.367837299        1
2023-04-20B14:50:30.000         2659.401811        26420.178332         9557.022473        -0.049998027         3.899144873         2.362734473        1
